time,mem_a,pulse_a,mem_b,pulse_b,i_b
0.002465500,0.767510,0.000000,0.000584,0.000000,0.000000e0
0.002465750,0.767600,0.000000,0.000583,0.000000,0.000000e0
0.002466000,0.767690,0.000000,0.000583,0.000000,0.000000e0
0.002466250,0.767780,0.000000,0.000583,0.000000,0.000000e0
0.002466500,0.767870,0.000000,0.000583,0.000000,0.000000e0
0.002466750,0.767960,0.000000,0.000583,0.000000,0.000000e0
0.002467000,0.768050,0.000000,0.000583,0.000000,0.000000e0
0.002467250,0.768140,0.000000,0.000583,0.000000,0.000000e0
0.002467500,0.768230,0.000000,0.000583,0.000000,0.000000e0
0.002467750,0.768320,0.000000,0.000582,0.000000,0.000000e0
0.002468000,0.768410,0.000000,0.000582,0.000000,0.000000e0
0.002468250,0.768500,0.000000,0.000582,0.000000,0.000000e0
0.002468500,0.768590,0.000000,0.000582,0.000000,0.000000e0
0.002468750,0.768680,0.000000,0.000582,0.000000,0.000000e0
0.002469000,0.768770,0.000000,0.000582,0.000000,0.000000e0
0.002469250,0.768860,0.000000,0.000582,0.000000,0.000000e0
0.002469500,0.768949,0.000000,0.000582,0.000000,0.000000e0
0.002469750,0.769039,0.000000,0.000581,0.000000,0.000000e0
0.002470000,0.769129,0.000000,0.000581,0.000000,0.000000e0
0.002470250,0.769219,0.000000,0.000581,0.000000,0.000000e0
0.002470500,0.769308,0.000000,0.000581,0.000000,0.000000e0
0.002470750,0.769398,0.000000,0.000581,0.000000,0.000000e0
0.002471000,0.769488,0.000000,0.000581,0.000000,0.000000e0
0.002471250,0.769578,0.000000,0.000581,0.000000,0.000000e0
0.002471500,0.769667,0.000000,0.000581,0.000000,0.000000e0
0.002471750,0.769757,0.000000,0.000580,0.000000,0.000000e0
0.002472000,0.769846,0.000000,0.000580,0.000000,0.000000e0
0.002472250,0.769936,0.000000,0.000580,0.000000,0.000000e0
0.002472500,0.770026,0.000000,0.000580,0.000000,0.000000e0
0.002472750,0.770115,0.000000,0.000580,0.000000,0.000000e0
0.002473000,0.770205,0.000000,0.000580,0.000000,0.000000e0
0.002473250,0.770294,0.000000,0.000580,0.000000,0.000000e0
0.002473500,0.770384,0.000000,0.000580,0.000000,0.000000e0
0.002473750,0.770473,0.000000,0.000580,0.000000,0.000000e0
0.002474000,0.770563,0.000000,0.000579,0.000000,0.000000e0
0.002474250,0.770652,0.000000,0.000579,0.000000,0.000000e0
0.002474500,0.770742,0.000000,0.000579,0.000000,0.000000e0
0.002474750,0.770831,0.000000,0.000579,0.000000,0.000000e0
0.002475000,0.770921,0.000000,0.000579,0.000000,0.000000e0
0.002475250,0.771010,0.000000,0.000579,0.000000,0.000000e0
0.002475500,0.771099,0.000000,0.000579,0.000000,0.000000e0
0.002475750,0.771189,0.000000,0.000579,0.000000,0.000000e0
0.002476000,0.771278,0.000000,0.000578,0.000000,0.000000e0
0.002476250,0.771367,0.000000,0.000578,0.000000,0.000000e0
0.002476500,0.771457,0.000000,0.000578,0.000000,0.000000e0
0.002476750,0.771546,0.000000,0.000578,0.000000,0.000000e0
0.002477000,0.771635,0.000000,0.000578,0.000000,0.000000e0
0.002477250,0.771724,0.000000,0.000578,0.000000,0.000000e0
0.002477500,0.771814,0.000000,0.000578,0.000000,0.000000e0
0.002477750,0.771903,0.000000,0.000578,0.000000,0.000000e0
0.002478000,0.771992,0.000000,0.000577,0.000000,0.000000e0
0.002478250,0.772081,0.000000,0.000577,0.000000,0.000000e0
0.002478500,0.772170,0.000000,0.000577,0.000000,0.000000e0
0.002478750,0.772259,0.000000,0.000577,0.000000,0.000000e0
0.002479000,0.772349,0.000000,0.000577,0.000000,0.000000e0
0.002479250,0.772438,0.000000,0.000577,0.000000,0.000000e0
0.002479500,0.772527,0.000000,0.000577,0.000000,0.000000e0
0.002479750,0.772616,0.000000,0.000577,0.000000,0.000000e0
0.002480000,0.772705,0.000000,0.000577,0.000000,0.000000e0
0.002480250,0.772794,0.000000,0.000576,0.000000,0.000000e0
0.002480500,0.772883,0.000000,0.000576,0.000000,0.000000e0
0.002480750,0.772972,0.000000,0.000576,0.000000,0.000000e0
0.002481000,0.773061,0.000000,0.000576,0.000000,0.000000e0
0.002481250,0.773150,0.000000,0.000576,0.000000,0.000000e0
0.002481500,0.773239,4.440000,0.000576,0.000000,1.000000e-5
0.002481750,0.773327,3.758379,0.000826,0.000000,8.464817e-6
0.002482000,0.000000,3.181399,0.001037,0.000000,7.165313e-6
0.002482250,0.000250,2.692996,0.001216,0.000000,6.065306e-6
0.002482500,0.000500,2.279572,0.001367,0.000000,5.134171e-6
0.002482750,0.000750,1.929616,0.001495,0.000000,4.345982e-6
0.002483000,0.001000,1.633385,0.001604,0.000000,3.678795e-6
0.002483250,0.001249,1.382630,0.001695,0.000000,3.114033e-6
0.002483500,0.001499,1.170371,0.001773,0.000000,2.635971e-6
0.002483750,0.001749,0.990698,0.001838,0.000000,2.231301e-6
0.002484000,0.001999,0.838608,0.001894,0.000000,1.888756e-6
0.002484250,0.002248,0.709866,0.001941,0.000000,1.598797e-6
0.002484500,0.002498,0.600889,0.001980,0.000000,1.353353e-6
0.002484750,0.002747,0.508641,0.002014,0.000000,1.145588e-6
0.002485000,0.002997,0.430555,0.002042,0.000000,9.697193e-7
0.002485250,0.003246,0.364457,0.002066,0.000000,8.208496e-7
0.002485500,0.003495,0.308506,0.002086,0.000000,6.948343e-7
0.002485750,0.003745,0.261145,0.002103,0.000000,5.881645e-7
0.002486000,0.003994,0.221054,0.002117,0.000000,4.978704e-7
0.002486250,0.004243,0.187119,0.002129,0.000000,4.214382e-7
0.002486500,0.004492,0.158392,0.002139,0.000000,3.567397e-7
0.002486750,0.004741,0.134076,0.002148,0.000000,3.019736e-7
0.002487000,0.004990,0.113493,0.002155,0.000000,2.556151e-7
0.002487250,0.005239,0.096070,0.002161,0.000000,2.163735e-7
0.002487500,0.005488,0.081321,0.002166,0.000000,1.831562e-7
0.002487750,0.005737,0.068837,0.002170,0.000000,1.550384e-7
0.002488000,0.005986,0.058269,0.002173,0.000000,1.312371e-7
0.002488250,0.006234,0.049324,0.002176,0.000000,1.110899e-7
